"","extinct","occurrences","NoSpecies","K_Numeric","Min_Numeric","C_Numeric","C_Cnumeric","S_Numeric","SC_Numeric","O_Numeric","T_Numeric","M_Numeric","R_Numeric","Re_Numeric","Phylum","MinD_Numeric","MaxD_Numeric","System_Numeric"
"Lingularia",0,147,12,3,5,1,0,1,0,1,4,3,4,1,"Brachiopoda",1,4,2
"Athyris",0,26,5,1,3,4,18.52,4,19.49,1,2,5,4,1,"Brachiopoda",1,4,2
"Lissorhynchia",0,12,4,1,3,3,4.65,3,4.9,1,2,5,4,1,"Brachiopoda",2,3,1
"Orbicoelia2",0,138,8,1,3,3,8.55,3,9,2,2,5,4,1,"Brachiopoda",1,4,3
"Neospirifer",0,11,5,1,3,4,20.7,4,21.79,2,2,5,4,1,"Brachiopoda",2,2,2
"Neospathodus",0,110,25,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Neogondolella",0,13,5,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Ozarkodina",0,6,4,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Hemigordius",0,153,22,2,2,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,3
"Meandrospira",0,183,8,2,2,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,2
"Rectocornuspira",0,114,4,2,2,2,0.05,2,0.08,1,3,4,1,1,"Foraminifera",2,4,2
"Hoyenella",0,105,4,2,2,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,4,2
"Earlandia",0,169,8,1,3,2,0.21,2,0.35,1,3,4,1,1,"Foraminifera",2,4,2
"Glomospirella",0,96,12,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,3
"Tolypammina",0,78,5,2,3,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",2,4,1
"Dentalina",0,41,6,2,3,2,0.22,2,0.37,1,3,4,1,1,"Foraminifera",2,4,2
"Nodosaria",0,406,43,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",1,4,3
"Duotaxis",0,69,3,2,3,2,0.27,2,0.45,1,3,4,1,1,"Foraminifera",2,4,1
"Gaudryina",0,62,4,2,1,2,0.04,2,0.06,1,3,4,1,1,"Foraminifera",2,4,2
"Pteria2",0,128,7,2,4,4,21.25,4,25,2,2,5,3,1,"Mollusca",1,4,2
"Posidonia",0,75,11,2,3,4,26.97,4,31.73,2,2,4,3,1,"Mollusca",2,4,3
"Ornithopecten",0,11,3,2,4,4,17.85,4,21,2,2,5,3,1,"Mollusca",2,4,1
"Entolium",0,55,6,2,4,4,29.74,4,34.99,2,2,3,3,1,"Mollusca",1,4,3
"Leptochondria",0,127,14,2,4,4,21.64,4,25.46,2,2,5,3,1,"Mollusca",1,4,3
"Palaeolima",0,74,19,2,4,4,21.33,4,25.1,2,2,5,3,1,"Mollusca",1,4,3
"Chlamys",0,39,3,2,4,4,16.39,4,19.29,3,2,3,3,1,"Mollusca",2,2,1
"Myophoria",0,63,3,2,1,4,54.78,4,64.45,2,4,3,3,1,"Mollusca",2,2,1
"Diplopora",0,26,2,2,1,2,0.23,2,0.5,1,2,5,1,1,"Chlorophyta",2,4,1
"Diplosphaerina",0,94,4,1,3,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,4,1
"Neoendothyra",0,60,11,1,3,2,0.34,2,0.57,1,3,4,1,1,"Foraminifera",2,4,3
"Ammodiscus",0,84,6,2,3,2,0.1,2,0.17,1,3,4,1,1,"Foraminifera",1,4,2
"Glomospira",0,347,15,2,3,2,0.22,2,0.36,1,3,4,1,1,"Foraminifera",1,4,2
"Nodosinelloides",0,184,9,2,3,2,0.1,2,0.17,1,3,4,1,1,"Foraminifera",2,4,2
"Frondina",0,67,9,2,3,2,0.04,2,0.06,1,3,4,1,1,"Foraminifera",2,4,1
"Rectostipulina",0,50,6,2,3,2,0.13,2,0.22,1,3,4,1,1,"Foraminifera",2,4,1
"Trochammina",0,41,3,2,3,2,0.17,2,0.29,1,3,4,1,1,"Foraminifera",2,4,1
"Schafhaeutlia",0,17,2,2,1,3,7.97,3,9.38,1,4,3,3,1,"Mollusca",1,2,2
"Promyalina1",0,71,10,2,4,4,17.34,4,20.4,1,2,5,3,1,"Mollusca",1,4,3
"Palaeoneilo",0,50,12,2,1,3,9.88,4,11.62,1,4,2,3,2,"Mollusca",1,4,3
"Palaeonucula",0,26,2,2,1,4,17,4,20,1,4,2,3,2,"Mollusca",1,4,2
"Lopha",0,29,4,2,4,4,14.72,4,17.32,3,2,5,3,1,"Mollusca",1,2,2
"Enantiostreon",0,5,3,2,4,4,14.72,4,17.32,3,2,5,3,1,"Mollusca",1,2,2
"Eumorphotis",0,169,15,2,4,4,22.89,4,26.93,2,2,5,3,1,"Mollusca",1,4,2
"Hoernesia",0,6,3,2,4,3,5.83,3,6.85,2,3,5,3,1,"Mollusca",2,2,1
"Costatoria",0,19,6,2,1,4,14.45,4,17,3,4,3,3,1,"Mollusca",2,2,1
"Neoschizodus",0,88,6,2,1,3,2.69,3,3.16,1,4,3,3,1,"Mollusca",1,4,2
"Unionites",0,79,6,2,1,3,7.97,3,9.38,1,4,3,3,1,"Mollusca",1,2,2
"Paraceratites",0,15,5,2,1,3,3,4,10,3,1,1,3,3,"Mollusca",2,4,1
"Coelostylina",0,40,5,2,1,3,7.35,3,9.54,1,2,2,3,3,"Mollusca",2,2,1
"Naticopsis",0,85,13,2,1,4,31.51,4,40.92,1,2,2,3,2,"Mollusca",1,3,2
"Neritaria",0,27,2,2,1,3,6.53,3,8.49,1,2,2,3,2,"Mollusca",2,2,1
"Worthenia",0,26,13,2,1,4,16.3,4,21.16,2,2,2,3,3,"Mollusca",2,2,1
"Parachaetetes",0,2,1,1,2,2,0.86,3,1.2,1,2,5,3,1,"Porifera",2,2,1
"Tubiphytes",0,393,4,2,2,2,0.9,3,2,1,2,5,1,1,"Problematicum",2,4,1
"Hollinella",1,62,11,2,3,2,0.62,2,0.77,1,2,2,3,3,"Arthropoda",1,4,2
"Reviya",1,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Microcheilinella",0,210,19,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Bairdia",0,656,103,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Orbiculoidea",1,47,10,3,5,1,0,1,0,1,2,5,4,1,"Brachiopoda",1,4,2
"Araxathyris",1,96,16,1,3,4,15.52,4,16.34,1,2,5,4,1,"Brachiopoda",1,4,2
"Acosarina2",1,174,4,1,3,3,8.49,3,8.94,2,2,5,4,1,"Brachiopoda",1,4,3
"Prelissorhynchia3",0,168,2,1,3,3,6.35,3,6.69,3,2,5,4,1,"Brachiopoda",1,4,3
"Uncinunellina",1,90,6,1,3,4,16.12,4,16.97,3,2,5,4,1,"Brachiopoda",1,4,2
"Crurithyris",1,105,15,1,3,3,4.94,3,5.2,2,2,5,4,1,"Brachiopoda",2,4,3
"Martinia2",1,84,19,1,3,4,14.72,4,15.49,2,2,5,4,1,"Brachiopoda",1,4,3
"Derbyia",1,73,10,1,3,4,34.86,4,36.69,3,2,5,4,1,"Brachiopoda",1,4,2
"Orthothetina",1,278,14,1,3,4,25.95,4,27.32,2,2,5,4,1,"Brachiopoda",1,4,3
"Perigeyerella",1,41,8,1,3,4,26.63,4,28.03,2,2,5,4,1,"Brachiopoda",1,2,2
"Chonetes",1,6,1,1,3,4,30.34,4,31.94,2,2,5,4,1,"Brachiopoda",2,2,1
"Cathaysia",1,168,8,1,3,4,10.75,4,11.31,2,2,5,4,1,"Brachiopoda",1,4,3
"Haydenella",1,170,17,1,3,3,8.5,3,8.94,2,2,5,4,1,"Brachiopoda",1,4,2
"Spinomarginifera",1,335,17,1,3,4,10.41,4,10.95,2,2,5,4,1,"Brachiopoda",1,4,3
"Neochonetes2",1,264,19,1,3,3,8.65,3,9.1,2,2,5,4,1,"Brachiopoda",1,4,3
"Waagenites2",1,54,5,1,3,3,7.66,3,8.06,2,2,5,4,1,"Brachiopoda",1,4,2
"Waagenites3",1,51,2,1,3,4,14.41,4,15.17,3,2,5,4,1,"Brachiopoda",1,4,2
"Tschernyschewia",0,44,5,1,3,4,24.95,4,26.27,2,2,5,4,1,"Brachiopoda",1,4,2
"Pseudovermiporella",1,19,4,2,1,3,1.11,3,2.46,1,2,5,1,1,"Chlorophyta",2,4,1
"Hindeodus",0,465,23,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Agathammina",0,33,10,2,2,2,0.34,2,0.57,1,3,4,1,1,"Foraminifera",2,4,1
"Dagmarita",1,136,10,1,3,2,0.17,2,0.28,1,3,4,1,1,"Foraminifera",1,3,2
"Globivalvulina",1,142,13,1,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,1
"Reichelina",0,218,14,1,3,2,0.24,2,0.4,1,3,4,1,1,"Foraminifera",1,4,2
"Pachyphloia",1,263,25,1,3,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",1,4,2
"Palaeotextularia",1,59,7,1,3,3,2.1,3,3.5,1,3,4,1,1,"Foraminifera",2,4,2
"Ichthyofrondina",0,34,3,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,2
"Geinitzina",0,233,24,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",1,4,3
"Robuloides",1,72,7,2,3,2,0.05,2,0.09,1,3,4,1,1,"Foraminifera",2,4,1
"Pseudoglandulina",0,103,16,2,3,2,0.17,2,0.28,1,3,4,1,1,"Foraminifera",1,4,2
"Aviculopecten",1,40,14,2,4,4,25.59,4,30.1,3,2,4,3,1,"Mollusca",1,4,2
"Pernopecten",1,67,15,2,4,4,34,4,40,2,2,5,3,1,"Mollusca",1,4,3
"Michelinoceras",0,9,2,2,1,4,22.2,4,74,1,1,1,3,3,"Mollusca",1,2,2
"Spirorbis",0,14,2,3,1,2,0.2,2,0.25,1,2,5,4,1,"Annelida",2,2,1
"Polycope",1,19,6,2,3,2,0.16,2,0.2,1,2,2,3,3,"Arthropoda",2,4,3
"Knightina",1,12,5,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Knoxiella",1,31,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,2,2
"Langdaia",1,17,3,2,3,2,0.51,2,0.63,1,2,2,3,3,"Arthropoda",1,2,2
"Liuzhinia",0,25,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Petasobairdia",1,89,12,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Silenites",1,91,13,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,2
"Macrocypris",1,15,5,2,3,2,0.32,2,0.4,1,2,2,3,3,"Arthropoda",1,2,2
"Acratia",1,107,16,2,3,2,0.23,2,0.28,1,2,2,3,3,"Arthropoda",1,4,2
"Bairdiacypris",0,234,28,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Fabalicypris",1,57,11,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Orthobairdia",1,53,9,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Baschkirina",1,31,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Bythocypris",0,15,6,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Basslerella",1,140,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,2,2
"Sinoglottidia",1,39,2,3,5,1,0,1,0,1,4,3,4,1,"Brachiopoda",1,4,3
"Transcaucasathyris",1,50,3,1,3,4,12.02,4,12.65,1,2,5,4,1,"Brachiopoda",1,4,2
"Kotlaia",1,9,1,1,3,4,11.64,4,12.25,2,2,5,4,1,"Brachiopoda",2,2,1
"Orbicoelia1",0,61,3,1,3,3,8.1,3,8.53,1,2,5,4,1,"Brachiopoda",1,4,2
"Paracrurithyris",0,158,2,1,3,3,5.2,3,5.48,1,2,5,4,1,"Brachiopoda",1,4,3
"Paraspiriferina",0,45,3,1,3,4,22.88,4,24.08,3,2,5,4,1,"Brachiopoda",1,2,2
"Paryphella",1,314,17,1,3,4,11.64,4,12.25,2,2,5,4,1,"Brachiopoda",1,4,3
"Fusichonetes",1,76,3,1,3,3,5.93,3,6.24,2,2,5,4,1,"Brachiopoda",1,4,3
"Tethyochonetes2",1,250,12,1,3,4,10.67,4,10.12,2,2,5,4,1,"Brachiopoda",1,4,3
"Clarkina",0,449,42,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Xaniognathus",1,31,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Ellisonia",1,6,3,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Hibbardella",0,6,3,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Enantiognathus",1,26,2,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Prioniodella",0,28,4,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Planiinvoluta",0,19,2,2,2,2,0.48,2,0.79,1,3,4,1,1,"Foraminifera",2,4,1
"Palaeofusulina",0,262,35,1,3,2,0.85,3,1.41,1,3,4,1,1,"Foraminifera",2,4,1
"Lingulonodosaria",1,7,6,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",4,4,3
"Lingulina",0,12,3,2,3,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,2,1
"Pseudonodosaria",0,6,3,2,3,2,0.24,2,0.4,1,3,4,1,1,"Foraminifera",2,4,1
"Neogeinitzina",1,4,3,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",4,4,1
"Vervilleina",1,7,2,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,3,1
"Parallelodon2",0,19,8,2,1,4,23.66,4,23.66,2,3,3,3,1,"Mollusca",1,4,3
"Permophorus",1,41,3,2,1,3,3.5,3,4.11,1,4,3,3,1,"Mollusca",1,2,2
"Stutchburia",1,14,3,2,1,3,4.16,3,4.9,1,4,5,3,1,"Mollusca",1,2,3
"Modiolus",0,26,4,2,4,3,2.12,3,2.49,1,2,5,3,1,"Mollusca",2,4,2
"Phaenodesmia",0,7,1,2,1,3,5.1,3,6,1,4,2,3,2,"Mollusca",1,2,2
"Phestia",0,18,5,2,1,3,8.06,3,9.49,1,4,2,3,2,"Mollusca",1,2,2
"Claraia",0,788,44,2,4,4,13.11,4,15.43,2,2,3,3,1,"Mollusca",1,4,3
"Bakevellia",0,83,12,2,4,4,12.75,4,15,2,3,5,3,1,"Mollusca",1,4,3
"Towapteria",0,94,8,2,4,4,17.67,4,20.78,2,3,5,3,1,"Mollusca",1,4,2
"Lytophiceras",1,41,4,2,1,4,13.38,4,44.6,1,1,1,3,3,"Mollusca",1,4,3
"Pleuronodoceras",1,110,18,2,1,4,15.37,4,51.23,3,1,1,3,3,"Mollusca",1,4,3
"Pseudotirolites",1,158,17,2,1,4,17.23,4,57.45,3,1,1,3,3,"Mollusca",1,4,3
"Metophiceras1",1,6,3,2,1,4,12.14,4,40.47,1,1,1,3,3,"Mollusca",2,4,2
"Pseudogastrioceras ",1,124,9,2,1,4,28.14,4,93.81,3,1,1,3,3,"Mollusca",1,4,3
"Lopingoceras3",1,30,1,2,1,4,19.5,4,65,3,1,1,3,3,"Mollusca",1,4,2
"Bellerophon",1,18,5,2,4,4,23.1,4,30,1,2,2,3,2,"Mollusca",1,4,2
"Retispira",1,16,6,2,4,3,7.3,3,9.49,2,2,2,3,2,"Mollusca",1,2,2
"Stachella",1,2,2,2,4,3,5.43,3,7.05,1,2,2,3,2,"Mollusca",1,2,2
"Euomphalus",0,2,1,2,4,3,5.33,3,6.93,3,2,2,3,2,"Mollusca",2,2,1
"Laxella",1,2,2,2,1,2,0.13,2,0.17,1,2,2,3,3,"Mollusca",2,2,1
"Streptacis2",1,8,2,2,1,2,0.23,2,0.3,2,2,2,3,3,"Mollusca",2,2,1
"Dictyotomaria",0,6,3,2,1,3,6.04,3,7.85,2,2,2,3,3,"Mollusca",2,2,1
"Polygyrina",0,15,6,2,1,4,10.19,4,13.23,1,2,3,3,3,"Mollusca",1,4,2
"Platyzona2",1,8,4,2,1,3,3.77,3,4.9,2,2,2,3,2,"Mollusca",2,4,1
"Solenopora",0,21,3,1,2,2,0.72,3,1,1,2,5,3,1,"Porifera",2,2,1
"Hegleria",1,45,3,3,6,1,0,1,0,1,1,5,1,1,"Radiolaria",4,4,3
"Paroertlispongus",1,20,2,3,6,1,0,1,0,1,1,5,1,1,"Radiolaria",4,4,3
"Paracypris",0,29,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Spinocypris",0,5,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Lonchodina",0,7,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Abriolina",0,4,2,1,3,2,0.54,2,0.89,1,3,4,1,1,"Foraminifera",4,4,1
"Genus D",1,16,6,2,3,2,0.08,2,0.14,1,3,4,1,1,"Foraminifera",4,4,1
"Austrotindaria",0,36,3,2,1,3,4.64,3,5.46,1,4,2,3,2,"Mollusca",1,2,2
"Ophiceras",1,91,7,2,1,4,12.14,4,40.47,1,1,1,3,3,"Mollusca",1,4,2
"Otoceras",1,9,2,2,1,4,21,4,70,1,1,1,3,3,"Mollusca",2,4,1
"Meekoceras",0,11,1,2,1,4,16.7,4,55.68,1,1,1,3,3,"Mollusca",4,4,1
"Hypophiceras",1,30,6,2,1,4,14.07,4,46.9,3,1,1,3,3,"Mollusca",1,4,2
"Lichuanorelloides",0,18,1,1,3,3,8.55,3,9,1,2,5,4,1,"Brachiopoda",2,3,1
"Isarcicella",0,42,8,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Neohindeodella",0,16,5,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Cornuspira",0,4,1,2,2,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,2,1
"Flemingites",0,9,3,2,1,3,7.71,4,25.69,3,1,1,3,3,"Mollusca",2,4,1
"Jieshaniceras",0,17,4,2,1,4,30.52,4,101.73,1,1,1,3,3,"Mollusca",2,4,1
"Ambites",0,2,2,2,1,3,4.89,4,16.32,2,1,1,3,3,"Mollusca",2,3,1
"Pseudosageceras",0,8,1,2,1,3,9.86,4,32.86,1,1,1,3,3,"Mollusca",2,4,1
"Vishnuites",0,16,1,2,1,3,5.9,4,19.68,2,1,1,3,3,"Mollusca",2,3,1
"Paranorites",0,5,1,2,1,4,14.92,4,49.75,1,1,1,3,3,"Mollusca",2,4,1
"Clypeoceras",0,2,1,2,1,3,9,4,30,3,1,1,3,3,"Mollusca",2,2,1
"Gyronites",0,2,2,2,1,3,3.91,4,13.04,1,1,1,3,3,"Mollusca",5,0,0
"Hubeitoceras2",0,4,1,2,1,4,12.13,4,40.43,2,1,1,3,3,"Mollusca",2,3,1
"Prionolobus",0,18,3,2,1,4,18.71,4,62.35,1,1,1,3,3,"Mollusca",2,4,1
"Callicythere",1,12,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Sinolingularia",1,58,3,3,5,1,0,1,0,1,4,3,4,1,"Brachiopoda",1,3,2
"Gervillaria",0,5,3,2,4,4,76.5,4,90,2,3,5,3,1,"Mollusca",2,2,1
"Gervillia",0,14,2,2,4,4,21.5,4,25.3,2,3,5,3,1,"Mollusca",2,2,1
"Dicellonema",1,9,3,2,4,3,5.43,3,7.05,2,2,2,3,2,"Mollusca",1,2,2
"Vernelia",0,6,2,2,1,3,2.54,3,3.29,1,2,2,3,2,"Mollusca",2,2,1
"Microconchus",1,40,4,2,3,2,0.64,2,0.8,1,2,5,3,2,"Mollusca",2,4,1
"Carinaknightina",0,4,3,2,3,2,0.11,2,0.14,1,2,2,3,3,"Arthropoda",2,2,1
"Triassinella",1,2,2,2,3,2,0.37,2,0.46,2,2,2,3,3,"Arthropoda",1,2,2
"Paramicrocheilinella",1,3,1,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Dettermania",1,2,1,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",5,0,1
"Paranorellina",1,4,1,1,3,3,4.65,3,4.9,1,2,5,4,1,"Brachiopoda",4,4,1
"Meishanorhynchia",1,8,1,1,3,3,4.65,3,4.9,1,2,5,4,1,"Brachiopoda",4,4,1
"Parachirognathus",0,6,3,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Cratognathodus",0,5,2,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Promyalina2",0,2,1,2,4,4,17.34,4,20.4,2,2,5,3,1,"Mollusca",2,4,1
"Crittendenia",1,5,2,2,4,4,25.5,4,30,2,2,5,3,1,"Mollusca",2,4,2
"Prionocyclus",1,4,1,2,1,4,18,4,60,3,1,1,3,3,"Mollusca",4,4,1
"Proptychites",1,5,3,2,1,4,17.43,4,58.09,1,1,1,3,3,"Mollusca",2,3,1
"Xiaohenautilus",1,17,2,2,1,4,20.12,4,67.08,3,1,1,3,3,"Mollusca",2,3,1
"Sinuarbullina",1,2,1,2,1,3,1.69,3,2.19,1,2,2,3,3,"Mollusca",2,2,1
"Omphaloptycha",0,9,4,2,1,2,0.77,3,1,1,2,2,3,3,"Mollusca",1,2,2
"Spirostylus",0,8,2,2,1,3,2.88,3,3.74,1,2,2,3,3,"Mollusca",2,2,1
"Undularia",0,8,2,2,1,4,10.89,4,14.14,1,2,2,3,3,"Mollusca",2,2,1
"Gyrophiceras",1,4,2,2,1,3,7.21,4,24.03,1,1,1,3,3,"Mollusca",2,2,1
"Kymatites",1,4,2,2,1,3,7.98,4,26.58,1,1,1,3,3,"Mollusca",2,2,1
"Wordieoceras",1,3,1,2,1,3,6.17,4,20.55,1,1,1,3,3,"Mollusca",2,2,1
"Prodentalium",0,4,2,2,1,3,4.02,3,4.9,2,3,2,1,2,"Mollusca",1,2,2
