"","extinct","occurrences","NoSpecies","K_Numeric","Min_Numeric","C_Numeric","C_Cnumeric","S_Numeric","SC_Numeric","O_Numeric","T_Numeric","M_Numeric","R_Numeric","Re_Numeric","Phylum","MinD_Numeric","MaxD_Numeric","System_Numeric"
"Lingularia",0,147,12,3,5,1,0,1,0,1,4,3,4,1,"Brachiopoda",1,4,2
"Athyris",0,26,5,1,3,4,18.52,4,19.49,1,2,5,4,1,"Brachiopoda",1,4,2
"Septaliphoria",0,22,3,1,3,4,12.64,4,13.3,3,2,5,4,1,"Brachiopoda",2,2,1
"Diholkorhynchia",0,59,1,1,3,3,9.96,4,10.49,2,2,5,4,1,"Brachiopoda",2,4,1
"Lissorhynchia",0,12,4,1,3,3,4.65,3,4.9,1,2,5,4,1,"Brachiopoda",2,3,1
"Nudirostralina",0,21,3,1,3,3,6.65,3,7,3,2,5,4,1,"Brachiopoda",2,4,1
"Orbicoelia2",0,138,8,1,3,3,8.55,3,9,2,2,5,4,1,"Brachiopoda",1,4,3
"Neospirifer",0,11,5,1,3,4,20.7,4,21.79,2,2,5,4,1,"Brachiopoda",2,2,2
"Lepismatina",0,34,2,1,3,4,60.8,4,64,3,2,5,4,1,"Brachiopoda",2,4,1
"Mentzelia1",0,99,4,1,3,4,45.44,4,47.83,1,2,5,4,1,"Brachiopoda",2,4,1
"Pseudospiriferina",0,44,8,1,3,4,37.95,4,39.95,3,2,5,4,1,"Brachiopoda",2,4,1
"Cayeuxia",0,36,1,2,1,3,1.11,3,2.46,1,2,5,1,1,"Chlorophyta",2,4,1
"Physoporella",0,18,1,2,1,2,0.45,3,1,1,2,5,1,1,"Chlorophyta",2,4,1
"Pseudodiplopora",0,22,1,2,1,2,0.45,3,1,1,2,5,1,1,"Chlorophyta",2,4,1
"Neospathodus",0,110,25,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Novispathodus",0,10,2,3,7,1,0,1,0,1,1,1,2,3,"Chordata",4,4,1
"Neogondolella",0,13,5,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Ozarkodina",0,6,4,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Cornudina",0,3,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",4,4,1
"Triassospathodus",0,7,2,3,7,1,0,1,0,1,1,1,2,3,"Chordata",4,4,1
"Hemigordius",0,153,22,2,2,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,3
"Meandrospira",0,183,8,2,2,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,2
"Rectocornuspira",0,114,4,2,2,2,0.05,2,0.08,1,3,4,1,1,"Foraminifera",2,4,2
"Hemigordiellina",0,8,1,2,2,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,2,1
"Hoyenella",0,105,4,2,2,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,4,2
"Earlandia",0,169,8,1,3,2,0.21,2,0.35,1,3,4,1,1,"Foraminifera",2,4,2
"Earlandinita",0,76,4,1,3,2,0.45,2,0.75,1,3,4,1,1,"Foraminifera",2,4,1
"Endoteba",0,201,8,1,3,2,0.21,2,0.35,1,3,4,1,1,"Foraminifera",2,4,1
"Endotebanella",0,59,4,1,3,2,0.5,2,0.84,1,3,4,1,1,"Foraminifera",2,4,1
"Endotriadella",0,110,4,1,3,2,0.25,2,0.42,1,3,4,1,1,"Foraminifera",2,4,1
"Arenovidalina",0,46,4,2,1,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,2
"Aulotortus",0,17,7,2,1,2,0.37,2,0.62,1,3,4,1,1,"Foraminifera",2,4,2
"Glomospirella",0,96,12,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,3
"Pilammina",0,82,2,2,3,2,0.36,2,0.6,1,3,4,1,1,"Foraminifera",2,4,2
"Pilamminella",0,33,2,2,3,2,0.31,2,0.52,1,3,4,1,1,"Foraminifera",2,4,1
"Tolypammina",0,78,5,2,3,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",2,4,1
"Dentalina",0,41,6,2,3,2,0.22,2,0.37,1,3,4,1,1,"Foraminifera",2,4,2
"Nodosaria",0,406,43,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",1,4,3
"Duotaxis",0,69,3,2,3,2,0.27,2,0.45,1,3,4,1,1,"Foraminifera",2,4,1
"Gaudryina",0,62,4,2,1,2,0.04,2,0.06,1,3,4,1,1,"Foraminifera",2,4,2
"Diplotremina",0,14,3,2,1,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",2,4,1
"Variostoma",0,6,3,2,1,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",4,4,1
"Pteria2",0,128,7,2,4,4,21.25,4,25,2,2,5,3,1,"Mollusca",1,4,2
"Posidonia",0,75,11,2,3,4,26.97,4,31.73,2,2,4,3,1,"Mollusca",2,4,3
"Ornithopecten",0,11,3,2,4,4,17.85,4,21,2,2,5,3,1,"Mollusca",2,4,1
"Entolium",0,55,6,2,4,4,29.74,4,34.99,2,2,3,3,1,"Mollusca",1,4,3
"Leptochondria",0,127,14,2,4,4,21.64,4,25.46,2,2,5,3,1,"Mollusca",1,4,3
"Palaeolima",0,74,19,2,4,4,21.33,4,25.1,2,2,5,3,1,"Mollusca",1,4,3
"Chlamys",0,39,3,2,4,4,16.39,4,19.29,3,2,3,3,1,"Mollusca",2,2,1
"Pleuronectites",0,11,3,2,4,4,55.09,4,64.81,2,2,5,3,1,"Mollusca",2,2,1
"Myophoria",0,63,3,2,1,4,54.78,4,64.45,2,4,3,3,1,"Mollusca",2,2,1
"Sibirites",0,4,2,2,1,4,12,4,40,3,1,1,3,3,"Mollusca",2,4,1
"Periclaraia",0,7,2,2,4,3,6.8,3,8,2,2,3,3,1,"Mollusca",2,4,1
"Diplopora",0,26,2,2,1,2,0.23,2,0.5,1,2,5,1,1,"Chlorophyta",2,4,1
"Griphoporella",0,2,1,2,1,2,0.45,3,1,1,2,5,1,1,"Chlorophyta",4,4,1
"Gsollbergella",0,8,2,2,2,2,0.07,2,0.12,1,3,4,1,1,"Foraminifera",4,4,2
"Diplosphaerina",0,94,4,1,3,2,0.06,2,0.1,1,3,4,1,1,"Foraminifera",2,4,1
"Neoendothyra",0,60,11,1,3,2,0.34,2,0.57,1,3,4,1,1,"Foraminifera",2,4,3
"Ammodiscus",0,84,6,2,3,2,0.1,2,0.17,1,3,4,1,1,"Foraminifera",1,4,2
"Glomospira",0,347,15,2,3,2,0.22,2,0.36,1,3,4,1,1,"Foraminifera",1,4,2
"Palaeolituonella",0,24,5,2,3,2,0.3,2,0.5,1,3,4,1,1,"Foraminifera",4,4,1
"Nodosinelloides",0,184,9,2,3,2,0.1,2,0.17,1,3,4,1,1,"Foraminifera",2,4,2
"Frondina",0,67,9,2,3,2,0.04,2,0.06,1,3,4,1,1,"Foraminifera",2,4,1
"Rectostipulina",0,50,6,2,3,2,0.13,2,0.22,1,3,4,1,1,"Foraminifera",2,4,1
"Trochammina",0,41,3,2,3,2,0.17,2,0.29,1,3,4,1,1,"Foraminifera",2,4,1
"Schafhaeutlia",0,17,2,2,1,3,7.97,3,9.38,1,4,3,3,1,"Mollusca",1,2,2
"Promyalina1",0,71,10,2,4,4,17.34,4,20.4,1,2,5,3,1,"Mollusca",1,4,3
"Palaeoneilo",0,50,12,2,1,3,9.88,4,11.62,1,4,2,3,2,"Mollusca",1,4,3
"Palaeonucula",0,26,2,2,1,4,17,4,20,1,4,2,3,2,"Mollusca",1,4,2
"Lopha",0,29,4,2,4,4,14.72,4,17.32,3,2,5,3,1,"Mollusca",1,2,2
"Enantiostreon",0,5,3,2,4,4,14.72,4,17.32,3,2,5,3,1,"Mollusca",1,2,2
"Eumorphotis",0,169,15,2,4,4,22.89,4,26.93,2,2,5,3,1,"Mollusca",1,4,2
"Mysidioptera",0,14,4,2,4,4,20.4,4,24,2,2,5,3,1,"Mollusca",2,2,1
"Hoernesia",0,6,3,2,4,3,5.83,3,6.85,2,3,5,3,1,"Mollusca",2,2,1
"Costatoria",0,19,6,2,1,4,14.45,4,17,3,4,3,3,1,"Mollusca",2,2,1
"Neoschizodus",0,88,6,2,1,3,2.69,3,3.16,1,4,3,3,1,"Mollusca",1,4,2
"Unionites",0,79,6,2,1,3,7.97,3,9.38,1,4,3,3,1,"Mollusca",1,2,2
"Paraceratites",0,15,5,2,1,3,3,4,10,3,1,1,3,3,"Mollusca",2,4,1
"Coelostylina",0,40,5,2,1,3,7.35,3,9.54,1,2,2,3,3,"Mollusca",2,2,1
"Naticopsis",0,85,13,2,1,4,31.51,4,40.92,1,2,2,3,2,"Mollusca",1,3,2
"Neritaria",0,27,2,2,1,3,6.53,3,8.49,1,2,2,3,2,"Mollusca",2,2,1
"Worthenia",0,26,13,2,1,4,16.3,4,21.16,2,2,2,3,3,"Mollusca",2,2,1
"Parachaetetes",0,2,1,1,2,2,0.86,3,1.2,1,2,5,3,1,"Porifera",2,2,1
"Tubiphytes",0,393,4,2,2,2,0.9,3,2,1,2,5,1,1,"Problematicum",2,4,1
"Microcheilinella",1,210,19,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Bairdia",1,656,103,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Tschernyschewia",0,44,5,1,3,4,24.95,4,26.27,2,2,5,4,1,"Brachiopoda",1,4,2
"Agathammina",1,33,10,2,2,2,0.34,2,0.57,1,3,4,1,1,"Foraminifera",2,4,1
"Reichelina",0,218,14,1,3,2,0.24,2,0.4,1,3,4,1,1,"Foraminifera",1,4,2
"Ichthyofrondina",1,34,3,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",2,4,2
"Geinitzina",0,233,24,2,3,2,0.12,2,0.2,1,3,4,1,1,"Foraminifera",1,4,3
"Pseudoglandulina",0,103,16,2,3,2,0.17,2,0.28,1,3,4,1,1,"Foraminifera",1,4,2
"Michelinoceras",0,9,2,2,1,4,22.2,4,74,1,1,1,3,3,"Mollusca",1,2,2
"Spirorbis",0,14,2,3,1,2,0.2,2,0.25,1,2,5,4,1,"Annelida",2,2,1
"Liuzhinia",1,25,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Bairdiacypris",1,234,28,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Bythocypris",1,15,6,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Orbicoelia1",0,61,3,1,3,3,8.1,3,8.53,1,2,5,4,1,"Brachiopoda",1,4,2
"Paracrurithyris",0,158,2,1,3,3,5.2,3,5.48,1,2,5,4,1,"Brachiopoda",1,4,3
"Paraspiriferina",0,45,3,1,3,4,22.88,4,24.08,3,2,5,4,1,"Brachiopoda",1,2,2
"Hibbardella",1,6,3,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Prioniodella",1,28,4,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Planiinvoluta",0,19,2,2,2,2,0.48,2,0.79,1,3,4,1,1,"Foraminifera",2,4,1
"Palaeofusulina",0,262,35,1,3,2,0.85,3,1.41,1,3,4,1,1,"Foraminifera",2,4,1
"Pseudonodosaria",0,6,3,2,3,2,0.24,2,0.4,1,3,4,1,1,"Foraminifera",2,4,1
"Parallelodon2",0,19,8,2,1,4,23.66,4,23.66,2,3,3,3,1,"Mollusca",1,4,3
"Modiolus",0,26,4,2,4,3,2.12,3,2.49,1,2,5,3,1,"Mollusca",2,4,2
"Phaenodesmia",0,7,1,2,1,3,5.1,3,6,1,4,2,3,2,"Mollusca",1,2,2
"Phestia",0,18,5,2,1,3,8.06,3,9.49,1,4,2,3,2,"Mollusca",1,2,2
"Claraia",1,788,44,2,4,4,13.11,4,15.43,2,2,3,3,1,"Mollusca",1,4,3
"Bakevellia",0,83,12,2,4,4,12.75,4,15,2,3,5,3,1,"Mollusca",1,4,3
"Euomphalus",0,2,1,2,4,3,5.33,3,6.93,3,2,2,3,2,"Mollusca",2,2,1
"Dictyotomaria",0,6,3,2,1,3,6.04,3,7.85,2,2,2,3,3,"Mollusca",2,2,1
"Polygyrina",0,15,6,2,1,4,10.19,4,13.23,1,2,3,3,3,"Mollusca",1,4,2
"Solenopora",0,21,3,1,2,2,0.72,3,1,1,2,5,3,1,"Porifera",2,2,1
"Paracypris",1,29,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Spinocypris",1,5,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Lonchodina",1,7,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Abriolina",0,4,2,1,3,2,0.54,2,0.89,1,3,4,1,1,"Foraminifera",4,4,1
"Meekoceras",1,11,1,2,1,4,16.7,4,55.68,1,1,1,3,3,"Mollusca",4,4,1
"Ptychobairdia",1,8,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Neohindeodella",1,16,5,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Curionia",0,6,4,2,1,4,58.89,4,69.28,1,4,5,3,1,"Mollusca",2,2,1
"Pseudosageceras",1,8,1,2,1,3,9.86,4,32.86,1,1,1,3,3,"Mollusca",2,4,1
"Gervillaria",0,5,3,2,4,4,76.5,4,90,2,3,5,3,1,"Mollusca",2,2,1
"Gervillia",0,14,2,2,4,4,21.5,4,25.3,2,3,5,3,1,"Mollusca",2,2,1
"Vernelia",0,6,2,2,1,3,2.54,3,3.29,1,2,2,3,2,"Mollusca",2,2,1
"Carinaknightina",1,4,3,2,3,2,0.11,2,0.14,1,2,2,3,3,"Arthropoda",2,2,1
"Parachirognathus",1,6,3,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Cratognathodus",1,5,2,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,2
"Omphaloptycha",0,9,4,2,1,2,0.77,3,1,1,2,2,3,3,"Mollusca",1,2,2
"Spirostylus",0,8,2,2,1,3,2.88,3,3.74,1,2,2,3,3,"Mollusca",2,2,1
"Undularia",0,8,2,2,1,4,10.89,4,14.14,1,2,2,3,3,"Mollusca",2,2,1
"Prodentalium",0,4,2,2,1,3,4.02,3,4.9,2,3,2,1,2,"Mollusca",1,2,2
"Diplododella",1,2,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Pachycladina",1,22,11,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,4,1
"Sinophthalmidium",1,2,2,2,1,2,0.33,2,0.55,1,3,4,1,1,"Foraminifera",4,4,1
"Tirolites",1,4,3,2,1,4,19.44,4,64.81,3,1,1,3,3,"Mollusca",2,4,1
"Triadodiscus",0,7,2,2,1,2,0.15,2,0.24,1,3,4,1,1,"Foraminifera",2,4,2
"Krikoumbilica",0,4,1,2,1,2,0.19,2,0.32,1,3,4,1,1,"Foraminifera",4,4,1
"Icriospathodus",1,2,1,3,7,1,0,1,0,1,1,1,2,3,"Chordata",2,2,1
"Columbites",1,4,2,2,1,3,3.24,4,10.79,3,1,1,3,3,"Mollusca",4,4,1
"Subcolumbites",1,4,1,2,1,3,4.43,4,14.76,2,1,1,3,3,"Mollusca",4,4,1
"Hellenites",1,2,1,2,1,3,7.79,4,25.98,3,1,1,3,3,"Mollusca",4,4,1
"Pseudoceltites",1,2,1,2,1,4,10.39,4,34.64,3,1,1,3,3,"Mollusca",4,4,1
